recon_scaler,epoch,train_class_loss,train_recon_loss,test_loss,test_accuracy
0.001,1,0.19876779748776208,0.15337090252209573,0.04830900955200195,98.42
0.001,2,0.07626080655727162,0.09517138657857106,0.03657916030883789,98.8
0.001,3,0.05381017084041589,0.09347872013476358,0.03135626735687256,98.94
0.001,4,0.04475549398266749,0.10166552374516723,0.026033177280426024,99.15
0.001,5,0.03959574268743975,0.10703824392990517,0.027031687545776367,99.15
0.001,6,0.034640545384828816,0.11940784380634202,0.026003816604614257,99.17
0.001,7,0.0310031298971447,0.13321450718049047,0.025518088340759276,99.22
0.001,8,0.02945875899629111,0.14783675511127342,0.02499758596420288,99.22
0.001,9,0.030367723339411522,0.15305864316885914,0.024375275468826296,99.23
0.001,10,0.028737724861540925,0.15590357716912145,0.02423556308746338,99.24
0.001,11,0.026904658427299895,0.163108592920466,0.024655825805664063,99.24
0.001,12,0.026854121081415255,0.16842988289114255,0.023894526290893555,99.26
0.001,13,0.026038466112903266,0.1728700569538928,0.024518228340148926,99.26
0.001,14,0.027212838356954424,0.17535380178740792,0.023875685119628905,99.26
0.0027825594022071257,1,0.20814953958675234,0.1598952138887794,0.05652336006164551,98.22
0.0027825594022071257,2,0.08131074276355617,0.09740548216298953,0.04022994403839111,98.64
0.0027825594022071257,3,0.06010675873395913,0.09556675417177966,0.03399443435668945,98.82
0.0027825594022071257,4,0.04861025389107411,0.09890801147389006,0.03152002086639404,98.94
0.0027825594022071257,5,0.04252483771480585,0.10940323138573785,0.028224910736083984,99.05
0.0027825594022071257,6,0.0376851920163875,0.12854475558185374,0.02833626937866211,99.06
0.0027825594022071257,7,0.03637445181459764,0.14818289011780386,0.03155336055755615,98.99
0.0027825594022071257,8,0.0325169959371147,0.16327744879638717,0.027551480102539064,99.07
0.0027825594022071257,9,0.03289023461819404,0.176359694983278,0.027896044921875,99.07
0.0027825594022071257,10,0.03188330141639686,0.19296485727339158,0.028800389003753663,99.05
0.0027825594022071257,11,0.0327664865801711,0.2026560901801215,0.02631826410293579,99.1
0.0027825594022071257,12,0.030535855073991147,0.20973229681505068,0.027154211616516113,99.07
0.0027825594022071257,13,0.030702996261780018,0.2163879140131255,0.027305734062194824,99.02
0.0027825594022071257,14,0.028969527068381597,0.22092160914561895,0.02691406536102295,99.09
0.007742636826811269,1,0.20977423719759944,0.15185820748969944,0.056398402023315426,98.18
0.007742636826811269,2,0.08060578888975707,0.0904953227177866,0.03646682529449463,98.66
0.007742636826811269,3,0.059455802773129444,0.0836049479398646,0.03398645191192627,98.89
0.007742636826811269,4,0.04665755347090849,0.0934628496435024,0.02925908889770508,98.99
0.007742636826811269,5,0.04092933036816884,0.10030170418083795,0.029429142570495604,99.11
0.007742636826811269,6,0.03645060355437479,0.1063711402862311,0.02674078359603882,99.11
0.007742636826811269,7,0.03518854141867569,0.11773165857899925,0.028961566162109376,99.1
0.007742636826811269,8,0.03133542708448332,0.12596540052944155,0.027306417655944826,99.1
0.007742636826811269,9,0.030770453906467637,0.13343587847374905,0.0281489049911499,99.09
0.007742636826811269,10,0.03068190946467474,0.14051378183146276,0.027818771648406983,99.12
0.007742636826811269,11,0.03104318270072175,0.14457570964784255,0.02612677879333496,99.21
0.007742636826811269,12,0.02885792711246096,0.14735258391289824,0.026945110416412354,99.18
0.007742636826811269,13,0.0288052995299073,0.15089991051695748,0.027071140956878664,99.17
0.007742636826811269,14,0.028037002673272096,0.15325877137148558,0.02702433319091797,99.17
0.021544346900318832,1,0.210652312283704,0.13987069828574783,0.0506428451538086,98.48
0.021544346900318832,2,0.07936721179174629,0.07906819032088144,0.03636376209259033,98.8
0.021544346900318832,3,0.05833210950907963,0.07083844486028273,0.03594189395904541,98.8
0.021544346900318832,4,0.04635278200776602,0.07422707128181641,0.029598466110229493,99.01
0.021544346900318832,5,0.040499926408080617,0.07708040368296444,0.02908691062927246,99.09
0.021544346900318832,6,0.0371403626792668,0.08441016857208473,0.02652522315979004,99.03
0.021544346900318832,7,0.03618545225240724,0.08714657756629021,0.028715868854522705,99.05
0.021544346900318832,8,0.0321610320400673,0.09118159048592867,0.026545455646514893,99.17
0.021544346900318832,9,0.031360855515371,0.09634978757071089,0.0268202073097229,99.07
0.021544346900318832,10,0.03179386532951721,0.10162108056326664,0.02701536684036255,99.05
0.021544346900318832,11,0.03086347342999369,0.10414641182115084,0.02658979148864746,99.05
0.021544346900318832,12,0.030022931531654237,0.10485012785616968,0.02664040298461914,99.11
0.021544346900318832,13,0.029707375614318562,0.10521561551545221,0.0264780517578125,99.12
0.021544346900318832,14,0.028233056970564066,0.10674100995921632,0.0263681978225708,99.11
0.05994842503189409,1,0.2059365970644552,0.11648622078340509,0.04998883819580078,98.34
0.05994842503189409,2,0.07718921935276142,0.06227642468520319,0.035833380699157716,98.76
0.05994842503189409,3,0.05599033545024062,0.0538514801092557,0.03160202503204346,98.91
0.05994842503189409,4,0.04593835972657334,0.052279312612373695,0.02778536720275879,99.05
0.05994842503189409,5,0.03771329257615667,0.05274727832533912,0.02680599250793457,99.04
0.05994842503189409,6,0.03368712271869516,0.05431950695193144,0.02571964521408081,99.17
0.05994842503189409,7,0.033350650339603556,0.056085790584940134,0.027128077220916747,99.14
0.05994842503189409,8,0.028798681742604523,0.05731003582954153,0.02557408847808838,99.17
0.05994842503189409,9,0.02849560622114384,0.05876522763435647,0.025793473434448242,99.08
0.05994842503189409,10,0.02875359281142955,0.060080828188833146,0.026143852758407592,99.09
0.05994842503189409,11,0.02879444911247189,0.05960231769615526,0.025252882194519044,99.12
0.05994842503189409,12,0.02762202800835854,0.05918365331299142,0.025468604850769044,99.14
0.05994842503189409,13,0.027346283248070924,0.05952960727756212,0.025564386749267577,99.13
0.05994842503189409,14,0.026083789921003527,0.060098093134094914,0.025331496238708496,99.14
0.1668100537200059,1,0.2007978728481892,0.08156592053756404,0.05323288879394531,98.29
0.1668100537200059,2,0.07471448352544514,0.03930564387155367,0.0373867639541626,98.71
0.1668100537200059,3,0.05337134295546297,0.031315359642415413,0.03293588924407959,98.9
0.1668100537200059,4,0.04289568722151768,0.029345279972531647,0.028780681037902833,99.06
0.1668100537200059,5,0.03633371033018325,0.029038000140966636,0.027901604080200194,99.03
0.1668100537200059,6,0.03262781326064288,0.029091034716030938,0.026362901496887206,99.18
0.1668100537200059,7,0.03105016332101087,0.02956354824393225,0.02782836227416992,99.14
0.1668100537200059,8,0.027842106450546925,0.029380257638580383,0.02657076826095581,99.2
0.1668100537200059,9,0.02695877834182006,0.029547037024583136,0.026187574863433837,99.16
0.1668100537200059,10,0.027589576525379345,0.02969874855456576,0.025975211381912233,99.17
0.1668100537200059,11,0.026788552339411655,0.029256005356433804,0.025766648483276366,99.17
0.1668100537200059,12,0.026300699218610193,0.02882604797813557,0.026186377811431884,99.16
0.1668100537200059,13,0.02615092589824236,0.028733227205381337,0.025816491508483887,99.18
0.1668100537200059,14,0.02467158352879848,0.02874347901364951,0.02577583656311035,99.2
0.46415888336127775,1,0.19279667747510806,0.04838079382290146,0.05111481628417969,98.4
0.46415888336127775,2,0.07132049305821216,0.020857359061259895,0.03623172607421875,98.75
0.46415888336127775,3,0.05179608642617101,0.01663749739487987,0.031368810081481936,98.86
0.46415888336127775,4,0.041529632559709394,0.01481895001112684,0.027593164253234864,99.05
0.46415888336127775,5,0.03550200796820648,0.01420407099172727,0.026829536628723144,99.08
0.46415888336127775,6,0.030859063658714374,0.01411890384477021,0.02624757308959961,99.12
0.46415888336127775,7,0.029515622932747353,0.013815898031218727,0.02621775131225586,99.13
0.46415888336127775,8,0.027621108905731467,0.013470283967615572,0.025383585262298582,99.15
0.46415888336127775,9,0.026193908573882128,0.013439236892891655,0.025127509689331053,99.18
0.46415888336127775,10,0.02698546697067639,0.01322860399118142,0.025171502113342285,99.19
0.46415888336127775,11,0.026683974361579828,0.013013243523321108,0.024651837158203124,99.21
0.46415888336127775,12,0.02561539607750538,0.012876640277495707,0.02493170804977417,99.19
0.46415888336127775,13,0.024717782563996562,0.012991624234963074,0.024773466968536377,99.2
0.46415888336127775,14,0.024167919844656542,0.013004267414503577,0.02467353096008301,99.22
1.2915496650148828,1,0.18456182182172753,0.025556322549586927,0.05356146087646484,98.49
1.2915496650148828,2,0.0681690321592336,0.010373468824557022,0.03465208797454834,98.93
1.2915496650148828,3,0.049969816929908956,0.008019807065890701,0.032901624298095705,98.93
1.2915496650148828,4,0.039710005661269136,0.007127718526377543,0.0257530574798584,99.18
1.2915496650148828,5,0.03448636015926275,0.006720637953750837,0.024922614097595216,99.14
1.2915496650148828,6,0.031080155565501696,0.006474883325382082,0.02534416389465332,99.14
1.2915496650148828,7,0.029042836640520132,0.006273809817434946,0.025677377128601075,99.13
1.2915496650148828,8,0.027189833228476346,0.006105416827698125,0.024063503074645998,99.2
1.2915496650148828,9,0.026339347378898367,0.0060953279154927235,0.02374073657989502,99.23
1.2915496650148828,10,0.026236254204278574,0.005936368245945207,0.02380438585281372,99.22
1.2915496650148828,11,0.026067591873359983,0.005877264933700342,0.02361414794921875,99.27
1.2915496650148828,12,0.025893992939983793,0.0058258476335483825,0.0236499719619751,99.25
1.2915496650148828,13,0.024508325498986013,0.005930082682869645,0.023640828609466553,99.26
1.2915496650148828,14,0.024037681259477993,0.005951560226016874,0.023558134365081786,99.27
3.593813663804626,1,0.18102203404951864,0.012700757919761068,0.04743807182312012,98.62
3.593813663804626,2,0.06708271771288121,0.004867958224146192,0.03548947658538818,98.85
3.593813663804626,3,0.04944149395753778,0.0037525920974297213,0.032982622146606445,98.85
3.593813663804626,4,0.040282471994333255,0.003306771864367923,0.02808368434906006,98.98
3.593813663804626,5,0.035203622097942804,0.0030831693828518966,0.026142418479919435,99.08
3.593813663804626,6,0.03218260666440879,0.0029489785243671683,0.026839202117919923,99.05
3.593813663804626,7,0.029913818550063795,0.0028365042628045243,0.02658433074951172,99.11
3.593813663804626,8,0.02811922169643452,0.0027645444162368677,0.025490358448028563,99.13
3.593813663804626,9,0.027911427915582796,0.0027311697425042736,0.025361549758911132,99.11
3.593813663804626,10,0.02716130899788657,0.0026909981480440193,0.025292733383178712,99.14
3.593813663804626,11,0.02728371807500156,0.002641230174995609,0.025051516437530518,99.11
3.593813663804626,12,0.026947014732906886,0.0026236635929188018,0.025093717288970946,99.08
3.593813663804626,13,0.02544156118572356,0.0026701024628238384,0.02494211654663086,99.09
3.593813663804626,14,0.02488920389671377,0.0026804458718302088,0.024927886962890625,99.1
10.0,1,0.19412675296077564,0.006181384262287302,0.05213813133239746,98.51
10.0,2,0.06985584547324206,0.00228148180286962,0.0366237850189209,98.88
10.0,3,0.05143604807154552,0.0017514938039572112,0.03569823551177979,98.78
10.0,4,0.04252631038969466,0.0015190883076934417,0.029140974044799806,98.94
10.0,5,0.03844694549596108,0.0013913738239469176,0.026450528717041014,99.1
10.0,6,0.03492337542631701,0.00132785671152798,0.027469125556945802,99.07
10.0,7,0.03253292738904815,0.0012748517033491116,0.02677740592956543,99.09
10.0,8,0.03037762850275271,0.0012552208033328786,0.025884270286560058,99.12
10.0,9,0.03073769964032999,0.0012298179679919583,0.025550568199157714,99.09
10.0,10,0.029546826279092667,0.0012102125034824426,0.025507600116729735,99.09
10.0,11,0.029972643629441274,0.001188725837122109,0.025315357875823976,99.08
10.0,12,0.029280795388470796,0.0011869599741857761,0.025219121265411377,99.09
10.0,13,0.02827623636009537,0.0011965866246050213,0.025205215549468994,99.08
10.0,14,0.027455149999961678,0.0011959038910640677,0.025206063079833984,99.06
